dataset,pipeline,sp_amount,dimred,d,n_samples,n_clusters,silhouette_mean,silhouette_std,ari_mean,ari_std,nmi_mean,nmi_std,time_total_sec_mean,time_total_sec_std,time_dimred_sec_mean,time_dimred_sec_std,time_kmeans_sec_mean,time_kmeans_sec_std
fashion_mnist,sharpen_hog,0.05,pca,2,10000,10,0.36485276619593304,0.016270206955045056,0.27865616708731283,0.010369702973160793,0.46133628192927173,0.004407794510620037,0.13568086666661353,0.003304070273368877,0.12410003333328253,0.003259503153878897,0.011580833333331006,0.0005723053142329698
fashion_mnist,sharpen_hog,0.05,pca,5,10000,10,0.31383179624875385,0.0038632025534462793,0.3812373641461813,0.007005700740226742,0.5534353498224999,0.004933471417290327,0.14923030000015083,0.008587894368798536,0.1366648000002897,0.008968709641878885,0.012565499999861155,0.0010479724755379173
fashion_mnist,sharpen_hog,0.05,pca,10,10000,10,0.2562408000230789,0.008970351538302421,0.406877297396798,0.03675701880971393,0.5812379883306206,0.010655257013738572,0.19742913333175238,0.007859736021389795,0.1744769999992665,0.005116240072757269,0.022952133332485875,0.005833096126343103
fashion_mnist,sharpen_hog,0.05,pca,20,10000,10,0.18296647568543753,0.009248027438185672,0.41526389625973775,0.005505082178421486,0.5974670772821735,0.01574990081230614,0.26531850000052754,0.022703864318984773,0.2361981000006684,0.02500226210881041,0.02912039999985912,0.006979453799369132
fashion_mnist,sharpen_hog,0.05,pca,50,10000,10,0.10433707634607951,0.015379104742846926,0.4202645036270732,0.0016624277300348017,0.5917803791308776,0.009141685766323576,0.46754163333631976,0.04038751652395852,0.42566250000163564,0.04079212124105714,0.041879133334684106,0.006004220183334914
fashion_mnist,sharpen_hog,0.05,umap,2,10000,10,0.48999060193697613,0.01049734066246607,0.4116370201042671,0.02508184776450482,0.5855131778979333,0.02056289384108746,2.802157199999783,0.07496058614073348,2.7880658666666327,0.07474126412276812,0.014091333333150638,0.0003183009636099048
fashion_mnist,sharpen_hog,0.05,umap,5,10000,10,0.5013403097788492,0.020386582016829444,0.4180456592938637,0.001405524393810762,0.6050847154994885,0.018890107159473403,3.0706959666652742,0.05178174252402148,3.0547297999995258,0.05040375749910588,0.01596616666574846,0.0016248444065928046
fashion_mnist,sharpen_hog,0.05,umap,10,10000,10,0.47043989102045697,0.021466969710788767,0.4145056579412972,0.015066490489696787,0.591776692398876,0.01960438143489964,3.6516736333311806,0.4167639921456604,3.634125899998859,0.41678948060449406,0.017547733332321513,0.0006828734308181019
fashion_mnist,sharpen_hog,0.05,umap,20,10000,10,0.4815177420775096,0.0063213163102426966,0.42611736861005706,0.02204908473098084,0.5960981706725765,0.006459982866907283,3.5459323666667237,0.04265715550916153,3.526239933334485,0.04308619368772035,0.01969243333223858,0.0004888412970095054
fashion_mnist,sharpen_hog,0.05,umap,50,10000,10,0.48598015308380127,0.00697815924594289,0.4283321208806931,0.008944481759826957,0.6001591782405665,0.006969767763972349,4.584014999999151,0.0211430599465304,4.55381750000015,0.02162031583780506,0.03019749999900038,0.0013332295730896179
